municipality,ldp_22_vt,cdp_22_vt,komei_22_vt,jip_22_vt,jcp_22_vt,dpp_22_vt,reiwa_22_vt,sdp_22_vt,diy_22_vt,ldp_25_vt,cdp_25_vt,komei_25_vt,jip_25_vt,jcp_25_vt,dpp_25_vt,reiwa_25_vt,sdp_25_vt,diy_25_vt,mirai_25_vt,electorate_22,votes_22,electorate_25,votes_25
千代田区,12862,3413,1327,4765,2214,2390,1651,830,1257,7728 ,178 ,1152 ,2013 ,1450 ,5421 ,1216 ,753 ,3968 ,3854 ,54360,32887,55058 ,35599 
中央区,29280,8340,4345,14175,5133,5942,4311,1703,3113,17634 ,536 ,3667 ,6658 ,3606 ,15592 ,3669 ,1826 ,10972 ,10514 ,138866,82057,148877 ,95194 
港区,39583,11632,5995,17988,7362,7016,6081,2665,4906,23593 ,766 ,4967 ,7401 ,4792 ,18342 ,4904 ,2414 ,14285 ,11911 ,204203,111481,208585 ,121463 
新宿区,46478,17364,13695,20766,14969,9984,9657,4905,5495,28700 ,956 ,11776 ,8726 ,11156 ,23763 ,7433 ,4201 ,18792 ,12868 ,274249,153642,275334 ,165613 
文京区,39404,15307,6054,16566,12835,9227,6183,3976,3750,24959 ,703 ,5114 ,7221 ,9723 ,19350 ,4664 ,3426 ,11725 ,13614 ,184796,120285,187542 ,129296 
台東区,31399,10534,7003,14586,8143,6823,6293,2280,3588,19701 ,561 ,5950 ,6251 ,5767 ,17790 ,5433 ,2278 ,13574 ,8328 ,170046,97726,177000 ,110187 
墨田区,40978,12772,14365,18768,10912,9236,7754,2711,4268,24832 ,759 ,12261 ,8733 ,8253 ,25647 ,7746 ,2697 ,17032 ,10305 ,232188,131052,240027 ,148874 
江東区,76518,25106,25412,38121,20998,16130,13373,5873,7451,44748 ,1518 ,20488 ,15630 ,15492 ,47548 ,11683 ,5275 ,28384 ,19581 ,423441,246372,432992 ,269360 
品川区,61212,21941,16835,29714,17597,14443,10617,4754,6567,36320 ,1356 ,14006 ,13421 ,12539 ,36534 ,9071 ,4243 ,23076 ,18111 ,337688,196924,346139 ,215785 
目黒区,42520,18170,9531,20241,11860,9199,8739,3621,4951,25378 ,1098 ,7372 ,8910 ,8361 ,23134 ,7072 ,3277 ,15945 ,13795 ,234412,138248,236837 ,148915 
大田区,104120,36777,37192,52052,30263,22738,18881,8223,11182,63514 ,2123 ,31375 ,27449 ,23296 ,62275 ,17791 ,7737 ,44620 ,22328 ,614564,344291,624846 ,384664 
世田谷区,137565,64583,28948,67332,38091,30738,31801,15068,16729,84127 ,3588 ,24431 ,28508 ,28475 ,76571 ,25393 ,13563 ,55619 ,39397 ,770523,463134,776937 ,500711 
渋谷区,32795,15018,6240,14937,9522,6759,7345,3048,4421,19223 ,907 ,5149 ,6541 ,6986 ,17944 ,5775 ,2736 ,13437 ,11366 ,192485,109189,193444 ,118695 
中野区,44151,22847,13426,19125,14835,10822,10627,4460,5491,27458 ,1062 ,12021 ,8631 ,11287 ,26850 ,8863 ,4282 ,19663 ,12422 ,282197,156059,283899 ,176269 
杉並区,83455,40822,16897,37134,28564,19780,20906,10057,9403,52704 ,1976 ,15250 ,16604 ,22097 ,48750 ,16940 ,9411 ,31186 ,24082 ,485439,282201,488783 ,315903 
